v4_2,Data Marking,CV,calendar-years,Time,administrative-geography,Geography,averages-and-percentiles,AveragesAndPercentiles,sex,Sex,working-pattern,WorkingPattern,hours-and-earnings,HoursAndEarnings,sector,Sector
3597.0,,8.4,2021,2021,E12000001,North East,10,10th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
3599.0,,5.9,2021,2021,E12000008,South East,10,10th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
3671.0,,8.1,2021,2021,E12000003,Yorkshire and The Humber,10,10th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
3594.0,,8.3,2021,2021,E12000002,North West,10,10th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
3471.0,,8.5,2021,2021,E12000006,East,10,10th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
3939.0,,8.4,2021,2021,E12000007,London,10,10th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
3456.0,,17.0,2021,2021,E12000009,South West,10,10th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
7403.0,,3.9,2021,2021,E12000001,North East,25,25th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
7100.0,,3.5,2021,2021,E12000002,North West,25,25th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
7199.0,,5.5,2021,2021,E12000009,South West,25,25th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
6996.0,,3.6,2021,2021,E12000006,East,25,25th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
7377.0,,3.3,2021,2021,E12000008,South East,25,25th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
7367.0,,2.6,2021,2021,E12000007,London,25,25th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
7316.0,,3.1,2021,2021,E12000003,Yorkshire and The Humber,25,25th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
16355.0,,4.5,2021,2021,E12000001,North East,75,75th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
15982.0,,3.7,2021,2021,E12000002,North West,75,75th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
16914.0,,4.0,2021,2021,E12000008,South East,75,75th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
15668.0,,4.0,2021,2021,E12000006,East,75,75th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
16279.0,,5.1,2021,2021,E12000009,South West,75,75th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
16460.0,,3.3,2021,2021,E12000003,Yorkshire and The Humber,75,75th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
18599.0,,4.9,2021,2021,E12000007,London,75,75th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
23876.0,,18.0,2021,2021,E12000001,North East,90,90th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
24515.0,,9.1,2021,2021,E12000006,East,90,90th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
25575.0,,7.2,2021,2021,E12000008,South East,90,90th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
23633.0,,7.4,2021,2021,E12000002,North West,90,90th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
24246.0,,7.7,2021,2021,E12000003,Yorkshire and The Humber,90,90th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
24638.0,,12.0,2021,2021,E12000009,South West,90,90th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
30214.0,,12.0,2021,2021,E12000007,London,90,90th percentile,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
11375.0,,2.7,2021,2021,E12000001,North East,median,Median,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
10993.0,,2.3,2021,2021,E12000002,North West,median,Median,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
11408.0,,2.4,2021,2021,E12000008,South East,median,Median,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
11528.0,,2.7,2021,2021,E12000007,London,median,Median,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
11310.0,,2.2,2021,2021,E12000003,Yorkshire and The Humber,median,Median,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
10853.0,,2.5,2021,2021,E12000006,East,median,Median,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
11206.0,,3.7,2021,2021,E12000009,South West,median,Median,all,All,part-time,Part-Time,annual-pay-gross,Annual pay - Gross,all,All
